en,file-name,label,png_path
European Free-tailed Bat,"XC1062164-Vavouledo-26Oct10-10-P.-han,-T.-ten_1_00024_999.wav",3,"spectograms/XC1062164-Vavouledo-26Oct10-10-P.-han,-T.-ten_1_00024_999.png"
European Free-tailed Bat,"XC1062157-Vavouledo-26Oct10-07-H.s_P.k,-P.-han,-P.pyg_M.sch,-T.-ten_1_00010_000.wav",3,"spectograms/XC1062157-Vavouledo-26Oct10-07-H.s_P.k,-P.-han,-P.pyg_M.sch,-T.-ten_1_00010_000.png"
European Free-tailed Bat,XC1062125-Sasalo-stream-01Oct10-29_0_00005_000.wav,3,spectograms/XC1062125-Sasalo-stream-01Oct10-29_0_00005_000.png
European Free-tailed Bat,XC1061936-Orfeas-D500-14to15Oct2020-M01935.wav,3,spectograms/XC1061936-Orfeas-D500-14to15Oct2020-M01935.png
European Free-tailed Bat,XC1061935-Orfeas-D500-14to15Oct2020-M01501.wav,3,spectograms/XC1061935-Orfeas-D500-14to15Oct2020-M01501.png
European Free-tailed Bat,XC1061934-Orfeas-D500-14to15Oct2020-M01500.wav,3,spectograms/XC1061934-Orfeas-D500-14to15Oct2020-M01500.png
European Free-tailed Bat,XC1061919-Orfeas-D500-13to14Nov2020-M00361.wav,3,spectograms/XC1061919-Orfeas-D500-13to14Nov2020-M00361.png
European Free-tailed Bat,XC1061918-Orfeas-D500-13to14Nov2020-M00356.wav,3,spectograms/XC1061918-Orfeas-D500-13to14Nov2020-M00356.png
European Free-tailed Bat,XC1061917-Orfeas-D500-13to14Nov2020-M00355.wav,3,spectograms/XC1061917-Orfeas-D500-13to14Nov2020-M00355.png
European Free-tailed Bat,XC1061916-Orfeas-D500-13to14Nov2020-M00354.wav,3,spectograms/XC1061916-Orfeas-D500-13to14Nov2020-M00354.png
European Free-tailed Bat,XC1061915-Orfeas-D500-13to14Nov2020-M00351.wav,3,spectograms/XC1061915-Orfeas-D500-13to14Nov2020-M00351.png
European Free-tailed Bat,XC1061914-Orfeas-D500-13to14Nov2020-M00349.wav,3,spectograms/XC1061914-Orfeas-D500-13to14Nov2020-M00349.png
European Free-tailed Bat,XC1061913-Orfeas-D500-13to14Nov2020-M00340.wav,3,spectograms/XC1061913-Orfeas-D500-13to14Nov2020-M00340.png
European Free-tailed Bat,XC1061912-Orfeas-D500-13to14Nov2020-M00338.wav,3,spectograms/XC1061912-Orfeas-D500-13to14Nov2020-M00338.png
European Free-tailed Bat,XC1061911-Orfeas-D500-13to14Nov2020-M00336.wav,3,spectograms/XC1061911-Orfeas-D500-13to14Nov2020-M00336.png
European Free-tailed Bat,XC1061910-Orfeas-D500-13to14Nov2020-M00335.wav,3,spectograms/XC1061910-Orfeas-D500-13to14Nov2020-M00335.png
European Free-tailed Bat,XC1061499-Metsovo-2021-d500_31_1-M01550.wav,3,spectograms/XC1061499-Metsovo-2021-d500_31_1-M01550.png
European Free-tailed Bat,XC1061498-Metsovo-2021-d500_31_1-M01549.wav,3,spectograms/XC1061498-Metsovo-2021-d500_31_1-M01549.png
European Free-tailed Bat,XC1061449-Metsovo-2021-d500_2_3_4-M01377.wav,3,spectograms/XC1061449-Metsovo-2021-d500_2_3_4-M01377.png
European Free-tailed Bat,XC1061448-Metsovo-2021-d500_2_3_4-M01353.wav,3,spectograms/XC1061448-Metsovo-2021-d500_2_3_4-M01353.png
European Free-tailed Bat,XC1061447-Metsovo-2021-d500_2_3_4-M01268.wav,3,spectograms/XC1061447-Metsovo-2021-d500_2_3_4-M01268.png
European Free-tailed Bat,XC1061446-Metsovo-2021-d500_2_3_4-M01254.wav,3,spectograms/XC1061446-Metsovo-2021-d500_2_3_4-M01254.png
European Free-tailed Bat,XC1061445-Metsovo-2021-d500_2_3_4-M01252.wav,3,spectograms/XC1061445-Metsovo-2021-d500_2_3_4-M01252.png
European Free-tailed Bat,XC1061444-Metsovo-2021-d500_2_3_4-M01188.wav,3,spectograms/XC1061444-Metsovo-2021-d500_2_3_4-M01188.png
European Free-tailed Bat,XC1061443-Metsovo-2021-d500_2_3_4-M01178.wav,3,spectograms/XC1061443-Metsovo-2021-d500_2_3_4-M01178.png
European Free-tailed Bat,XC1061422-Metsovo-2021-d500_2_3_4-M00442.wav,3,spectograms/XC1061422-Metsovo-2021-d500_2_3_4-M00442.png
European Free-tailed Bat,XC1061408-Metsovo-2021-d500_2_3_4-M00132.wav,3,spectograms/XC1061408-Metsovo-2021-d500_2_3_4-M00132.png
European Free-tailed Bat,XC1061275-Latzimas-area-03Oct13-(2)_0_00005_000.wav,3,spectograms/XC1061275-Latzimas-area-03Oct13-(2)_0_00005_000.png
European Free-tailed Bat,XC1061274-Latzimas-area-03Oct13-(1)_0_00029_999.wav,3,spectograms/XC1061274-Latzimas-area-03Oct13-(1)_0_00029_999.png
European Free-tailed Bat,XC1061273-Latzimas-area-03Oct13-(1)_0_00019_999.wav,3,spectograms/XC1061273-Latzimas-area-03Oct13-(1)_0_00019_999.png
European Free-tailed Bat,XC1061268-Fantaxospiliara-emergence-22Aug13-(6)_0_00034_999.wav,3,spectograms/XC1061268-Fantaxospiliara-emergence-22Aug13-(6)_0_00034_999.png
European Free-tailed Bat,XC1061267-Fantaxospiliara-emergence-22Aug13-(5)_0_00029_999.wav,3,spectograms/XC1061267-Fantaxospiliara-emergence-22Aug13-(5)_0_00029_999.png
European Free-tailed Bat,XC1061266-Fantaxospiliara-emergence-22Aug13-(5)_0_00019_999.wav,3,spectograms/XC1061266-Fantaxospiliara-emergence-22Aug13-(5)_0_00019_999.png
European Free-tailed Bat,XC1060720-Tadten-Paparitsa-June2022--M01691.wav,3,spectograms/XC1060720-Tadten-Paparitsa-June2022--M01691.png
European Free-tailed Bat,XC1060719-Tadten-Paparitsa-June2022--M01690.wav,3,spectograms/XC1060719-Tadten-Paparitsa-June2022--M01690.png
